placekey,Name,lat,lon,street_address,city,region,postal_code,iso_country_code,wkt_area_sq_meters
227-222@62j-sj2-ffz,Royal East Restaurant,42.363058,-71.096956,792 Main St,Cambridge,MA,2139,US,609
22x-222@62j-sj2-ffz,Mae Asian Eatery,42.36339,-71.09687,781 Main St,Cambridge,MA,2139,US,160
zzw-222@62j-sj2-bzf,Flour Bakery Cafe,42.360789,-71.096565,190 Massachusetts Ave,Cambridge,MA,2139,US,3976
zzw-222@62j-sj2-bx5,Oath Pizza Central Square,42.361329,-71.096228,181 Massachusetts Ave Ste 1,Cambridge,MA,2139,US,169
265-222@62j-sj2-89z,Momi Nonmi,42.372992,-71.096118,1128 Cambridge St,Cambridge,MA,2139,US,33
22g-223@62j-sj2-4jv,Kantipur Caf?,42.369953,-71.096059,119 Hampshire St,Cambridge,MA,2139,US,334
222-222@62j-sj2-bzf,Saloniki Greek,42.361098,-71.095823,181 Massachusetts Ave,Cambridge,MA,2139,US,987
23q-222@62j-sj2-435,Formaggio Kendall,42.36887,-71.095127,94 Hampshire St,Cambridge,MA,2139,US,249
23b-223@62j-sj3-85f,Clover Food Lab,42.373154,-71.095093,1075 Cambridge St,Cambridge,MA,2139,US,248
23s-223@62j-sj2-435,Lord Hobo,42.368695,-71.094997,92 Hampshire St,Cambridge,MA,2139,US,203
223-226@62j-sj2-ckf,Anna's Taqueria,42.359047,-71.094765,84 Massachusetts Ave,Cambridge,MA,2139,US,3544
223-228@62j-sj2-ckf,LaVerde's Market,42.359123,-71.094526,84 Massachusetts Ave,Cambridge,MA,2139,US,1560
22s-222@62j-sj2-4vz,Mu Lan,42.366355,-71.094301,228 Broadway,Cambridge,MA,2139,US,241
zzw-222@62j-sj2-f9f,Cafe Luna Catering,42.362658,-71.094274,612 Main St,Cambridge,MA,2139,US,411
23w-222@62j-sj2-4vz,Dunkin',42.366428,-71.094095,222 Broadway,Cambridge,MA,2139,US,69
22h-222@62j-sj2-fmk,Sulmona,42.362782,-71.09388,608 Main St,Cambridge,MA,2139,US,398
zzw-22b@62j-sj2-54v,Mamaleh's Delicatessen,42.368071,-71.093378,15 Hampshire St,Cambridge,MA,2139,US,99
22t-222@62j-sj2-fmk,7-Eleven,42.363153,-71.093325,600 Technology Sq,Cambridge,MA,2139,US,289
zzy-222@62j-sj2-fmk,Al's Tech Square Cafe,42.363148,-71.093133,600 Tech Square Main St,Cambridge,MA,2139,US,2555
zzw-227@62j-sj2-9cq,Sal's Mobile,42.359247,-71.093127,77 Massachusetts Ave,Cambridge,MA,2139,US,43207
zzw-223@62j-sj2-b49,Bosworth's,42.359113,-71.092946,77 Massachusetts Ave Ste 7,Cambridge,MA,2139,US,43207
223-224@62j-sj2-d5f,Mex Taqueria & Bar,42.363169,-71.092664,500 Technology Sq,Cambridge,MA,2139,US,2211
