Number,Name,y,x,District,Public,Total docks
W32006,160 Arsenal,42.36466403,-71.17569387,Watertown,Yes,11
A32019,175 N Harvard St,42.363796,-71.129164,Boston,Yes,18
S32035,191 Beacon St,42.38032335,-71.10878613,Somerville,Yes,19
C32094,2 Hummingbird Lane at Olmsted Green,42.28887,-71.095003,Boston,Yes,17
S32023,30 Dane St,42.38100143,-71.10402523,Somerville,Yes,15
M32026,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,Cambridge,Yes,23
C32091,645 Summer St,42.34178089,-71.03987017,Boston,Yes,19
M32054,699 Mt Auburn St,42.37500235,-71.14871614,Cambridge,Yes,25
V32001,7 Acre Park,42.41143223,-71.06823265,Everett,Yes,15
B32060,700 Commonwealth Ave.,42.34960945,-71.10391524,Boston,Yes,16
M32060,700 Huron Ave,42.38078817,-71.15412891,Cambridge,Yes,19
M32064,75 Binney St,42.36550729,-71.0801376,Cambridge,Yes,19
M32058,84 Cambridgepark Dr,42.3936,-71.143941,Cambridge,Yes,25
H32006,855 Broadway,42.39841773,-71.02390923,Chelsea,Yes,11
C32065,Adams St at Lonsdale St,42.29167943,-71.05726346,Boston,Yes,0
A32032,Airport T Stop - Bremen St at Brooks St,42.37407974,-71.03276393,Boston,Yes,11
C32061,Albany St at E. Brookline St,42.33664795,-71.0689446,Boston,Yes,15
M32046,Alewife MBTA at Steel Place,42.39558846,-71.14260614,Cambridge,Yes,18
M32033,Alewife Station at Russell Field,42.396105,-71.139459,Cambridge,Yes,23
C32079,American Legion Hwy at Canterbury St,42.27881158,-71.11687703,Boston,Yes,15
M32059,Ames St at Broadway,42.3636929,-71.0875672,Cambridge,Yes,19
M32037,Ames St at Main St,42.3625,-71.08822,Cambridge,Yes,19
C32012,Andrew T Stop - Dorchester Ave at Dexter St,42.33047365,-71.05701685,Boston,Yes,0
B32004,Aquarium T Stop - 200 Atlantic Ave,42.35991176,-71.05142981,Boston,Yes,23
D32004,Arch St at Franklin St,42.35533502,-71.05822917,Boston,Yes,31
C32048,Archdale Rd at Washington St,42.29266593,-71.12119539,Boston,Yes,0
W32004,Arsenal Yards,42.36277389,-71.15764854,Watertown,Yes,11
C32062,Ashmont T Stop,42.2856944,-71.0641389,Boston,Yes,15
S32018,Assembly Square T,42.39223284,-71.07746601,Somerville,Yes,15
A32003,B.U. Central - 725 Comm. Ave.,42.350406,-71.108279,Boston,Yes,11
C32003,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412,-71.07657015,Boston,Yes,19
N32003,Bacon St at Washington St,42.35711921,-71.18604537,Newton,Yes,11
S32007,Ball Sq,42.3991826,-71.11104455,Somerville,Yes,19
B32055,Bartlett St at John Elliot Sq,42.3294633,-71.0901582,Boston,Yes,15
D32024,Beacon St at Charles St,42.356052,-71.069849,Boston,Yes,0
B32016,Beacon St at Massachusetts Ave,42.35082681,-71.08981088,Boston,Yes,0
K32002,Beacon St at Tappan St,42.3382668,-71.13894682,Brookline,Yes,15
S32003,Beacon St at Washington / Kirkland,42.37842,-71.105668,Somerville,Yes,19
C32059,Belgrade Ave at Walworth St,42.28634589,-71.1367213,Boston,Yes,15
H32002,Bellingham Square,42.39301409,-71.03392497,Chelsea,Yes,11
A32028,Bennington St at Byron St,42.38353252,-71.01619095,Boston,Yes,15
A32039,Bennington St at Constitution Beach,42.38522394,-71.01063069,Boston,Yes,17
M32067,Berkshire Street at Cambridge Street,42.37207658,-71.08995434,Cambridge,Yes,19
M32027,Binney St / Sixth St,42.36608797,-71.08633604,Cambridge,Yes,19
C32044,Blue Hill Ave at Almont St,42.27462067,-71.09372552,Boston,Yes,19
C32092,Blue Hill Ave at Havelock St,42.286012,-71.090986,Boston,Yes,18
B32057,Blue Hill Ave at Southwood St,42.31786021,-71.07798629,Boston,Yes,0
B32008,Boston City Hall - 28 State St,42.35892,-71.057629,Boston,Yes,21
D32018,Boston Convention and Exhibition Center - Summer St at West Side Dr,42.34776345,-71.04535997,Boston,Yes,23
A32036,Boston East - 126 Border St,42.37331213,-71.04102008,Boston,Yes,15
A32045,Boston Landing,42.35656092,-71.14167538,Boston,Yes,17
C32002,Boston Medical Center - E Concord St at Harrison Ave,42.33639915,-71.07306711,Boston,Yes,19
D32044,Boston Public Market,42.36254854,-71.05737358,Boston,Yes,15
B32031,Bowdoin St at Quincy St,42.30785224,-71.06512249,Boston,Yes,15
D32013,Boylston St at Berkeley St,42.35114198,-71.07329249,Boston,Yes,15
D32056,Boylston St at Charles St,42.35257609,-71.06764405,Boston,Yes,31
D32055,Boylston St at Dartmouth St,42.3501061,-71.07720464,Boston,Yes,15
D32046,Boylston St at Exeter St,42.34958942,-71.07946779,Boston,Yes,19
C32008,Boylston St at Fairfield St,42.348762,-71.082383,Boston,Yes,19
B32034,Boylston St at Jersey St,42.34465063,-71.09732501,Boston,Yes,15
B32018,Boylston St at Massachusetts Ave,42.34740621,-71.08678415,Boston,Yes,15
B32013,Brigham Circle - Francis St at Huntington Ave,42.33462893,-71.10407918,Boston,Yes,15
D32028,Brighton Center - Washington St at Cambridge St,42.34894857,-71.15027189,Boston,Yes,17
A32005,Brighton Mills - 370 Western Ave,42.36154571,-71.13776207,Boston,Yes,15
V32011,Broadway at Beacham St,42.3983606,-71.06373843,Everett,Yes,15
S32016,Broadway at Central St,42.3951715,-71.09850592,Somerville,Yes,19
H32004,Broadway at Gerrish Ave,42.39453079,-71.03085594,Chelsea,Yes,11
V32004,Broadway at Lynde St,42.39648358,-71.0654676,Everett,Yes,15
V32008,Broadway at Maple St,42.41034691,-71.05260458,Everett,Yes,14
S32014,Broadway St at Mt Pleasant St,42.38614141,-71.0782814,Somerville,Yes,19
K32005,Brookline Town Hall,42.33376473,-71.12046447,Brookline,Yes,15
K32003,Brookline Village - Station Street at MBTA,42.33274392,-71.11626681,Brookline,Yes,19
A32023,Bunker Hill Community College,42.37408991,-71.06905997,Boston,Yes,23
B32020,Burlington Ave at Brookline Ave,42.345733,-71.100694,Boston,Yes,0
M32052,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119728,-71.09759867,Cambridge,Yes,19
M32013,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,Cambridge,Yes,19
M32007,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,Cambridge,Yes,15
D32000,Cambridge St at Joy St,42.36125722,-71.06528744,Boston,Yes,15
M32019,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,Cambridge,Yes,15
A32046,Canal St at Causeway St,42.36530095,-71.06092191,Boston,Yes,0
H32001,Cary Square,42.39813565,-71.03070972,Chelsea,Yes,12
M32012,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,Cambridge,Yes,17
M32011,Central Square at Mass Ave / Essex St,42.36507,-71.1031,Cambridge,Yes,19
A32041,Central Square East Boston,42.37544913,-71.03918549,Boston,Yes,15
C32086,Centre St at Parkway YMCA,42.28277901,-71.15728851,Boston,Yes,19
E32008,Centre St at Seaverns Ave,42.3121203,-71.1142981,Boston,Yes,0
