placekey,location_name,latitude,longitude,street_address,city,region,postal_code,iso_country_code,top_category
zzw-222@62j-sj2-s3q,Whole Heart Provisions,42.362221000000005,-71.098786,298 Massachusetts Ave,Cambridge,MA,2139,US,Restaurants and Other Eating Places
zzw-224@62j-sjv-975,Kashmir,42.374318,-71.122075,52A Brattle St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
224-222@62j-sjv-9zz,Takemura Japanese Restaurant,42.372089,-71.121409,18 Eliot St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
233-223@62j-sj3-9mk,Halal Buns,42.374045,-71.100616,12 Springfield St,Cambridge,MA,2139,US,Restaurants and Other Eating Places
zzw-224@62j-sgg-kvf,Taqueria,42.360979,-71.113912,340 River St,Cambridge,MA,2139,US,Restaurants and Other Eating Places
zzy-228@62j-sk2-vmk,Akai Ryu Shabu & Sushi Restaurant,42.388544,-71.11863100000001,822 Somerville Ave Fl 2,Cambridge,MA,2140,US,Restaurants and Other Eating Places
22f-223@62j-sjv-9vf,Dig Inn,42.37219,-71.119562,82 Mount Auburn St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
24w-222@62j-shx-tjv,Starbucks,42.367464,-71.076109,100 Cambridgeside Pl Spc E108,Cambridge,MA,2141,US,Restaurants and Other Eating Places
255-223@62j-sjv-9zz,Upstairs On the Square,42.372446000000004,-71.12097800000001,91 Winthrop St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
22j-223@62j-sj2-c3q,Middlesex Cambridge,42.362559999999995,-71.098473,315 Massachusetts Ave,Cambridge,MA,2139,US,Restaurants and Other Eating Places
22p-222@62j-sjv-9mk,Beat Brew Hall,42.373551,-71.120249,13 Brattle St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
22s-222@62j-sjv-bc5,Ben & Jerry's,42.372735999999996,-71.119893,36 JFK St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
265-222@62j-sgg-jvz,Dimi's Place,42.35735,-71.107772,272 Brookline St,Cambridge,MA,2139,US,Restaurants and Other Eating Places
22b-222@62j-sjv-8jv,Cafe Pamplona,42.371775,-71.115461,12 Bow St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
237-222@62j-sk2-vs5,Passage to India,42.388759,-71.119907,1900 Massachusetts Ave,Cambridge,MA,2140,US,Restaurants and Other Eating Places
23g-222@62j-sjv-9zz,Shays Pub & Wine Bar,42.371790000000004,-71.120643,58 JFK St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
226-222@62j-sjv-9mk,Cambridge 1,42.374528000000005,-71.120006,27 Church St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
zzw-233@62j-shx-k9f,Panda Express,42.368501,-71.076611,100 Cambridgeside Pl,Cambridge,MA,2141,US,Restaurants and Other Eating Places
222-224@62j-sjt-68v,Revival Cafe & Kitchen,42.395103999999996,-71.145732,125 Cambridgepark Dr,Cambridge,MA,2140,US,Restaurants and Other Eating Places
22z-222@62j-shx-j7q,Sweet Touch Cafe,42.371195,-71.079971,241 Cambridge St,Cambridge,MA,2141,US,Restaurants and Other Eating Places
24m-223@62j-sjv-9zz,Charlie's Kitchen,42.372378000000005,-71.121496,10 Eliot St,Cambridge,MA,2138,US,Drinking Places (Alcoholic Beverages)
257-222@62j-sjv-9zz,Grendel's Den Restaurant & Bar,42.372469,-71.120857,89 Winthrop St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
zzw-225@62j-sj2-54v,Kendall Kitchen,42.366056,-71.092182,201 Broadway,Cambridge,MA,2139,US,Restaurants and Other Eating Places
226-222@62j-sjy-7nq,SOFRA Bakery & Cafe,42.374893,-71.150349,1 Belmont St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
23j-223@62j-sjv-9mk,The Sinclair,42.374007,-71.12065600000001,52 Church St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
zzw-228@62j-sjv-bc5,Le's Vietnamese Restaurant,42.372595000000004,-71.119313,35 Dunster St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
222-222@62j-sj3-4d9,Clover KND,42.362844,-71.087726,5 Cambridge Ctr,Cambridge,MA,2142,US,Restaurants and Other Eating Places
23s-222@62j-sj2-s5z,TT the Bear's Place,42.36345,-71.101676,10 Brookline St,Cambridge,MA,2139,US,Drinking Places (Alcoholic Beverages)
26n-227@62j-sjv-j7q,Cancun Taqueria Y Mas,42.370767,-71.113384,1105 Massachusetts Ave,Cambridge,MA,2138,US,Restaurants and Other Eating Places
227-222@62j-sjv-9mk,Border Cafe,42.374239,-71.120281,32 Church St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
25y-222@62j-sj2-vmk,Court House Seafood Restaurant,42.371483000000005,-71.084626,498 Cambridge St,Cambridge,MA,2141,US,Restaurants and Other Eating Places
zzw-222@62j-sj3-47q,Chipotle Mexican Grill,42.36255,-71.085605,255 Main St,Cambridge,MA,2142,US,Restaurants and Other Eating Places
22b-223@62j-sj3-2zf,EVOO Restaurant,42.363587,-71.083219,350 3rd St,Cambridge,MA,2142,US,Restaurants and Other Eating Places
23k-223@62j-sgg-j7q,Surya Indian Kitchen,42.35987,-71.10995799999999,114 Magazine St,Cambridge,MA,2139,US,Restaurants and Other Eating Places
23m-222@62j-shx-k4v,2nd Street Cafe,42.36853,-71.079323,89 2nd St,Cambridge,MA,2141,US,Restaurants and Other Eating Places
246-222@62j-sj3-9fz,Corazon De Frida,42.373670000000004,-71.098901,1287 Cambridge St,Cambridge,MA,2139,US,Restaurants and Other Eating Places
25d-223@62j-sj2-p35,Shalimar of India,42.364321999999994,-71.102388,546 Massachusetts Ave,Cambridge,MA,2139,US,Restaurants and Other Eating Places
25w-228@62j-sjv-j35,Harvest of India,42.369549,-71.111356,1001 Massachusetts Ave,Cambridge,MA,2138,US,Restaurants and Other Eating Places
zzw-222@62j-shx-ht9,Bambara,42.367971000000004,-71.075004,25 Edwin H Land Blvd,Cambridge,MA,2141,US,Restaurants and Other Eating Places
226-228@62j-sjv-bp9,The Heights Harvard Restaurant & Bar,42.372669,-71.118664,1350 Massachusetts Ave Fl 10,Cambridge,MA,2138,US,Restaurants and Other Eating Places
22h-223@62j-sjv-9mk,Club Passim,42.374223,-71.120026,47 Palmer St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
23f-222@62j-sj2-rzf,Toscanini's Ice Cream,42.363592,-71.099497,899 Main St,Cambridge,MA,2139,US,Restaurants and Other Eating Places
zzw-228@62j-sj3-33q,Kika Tapas,42.363444,-71.082966,5 Broad Canal Way,Cambridge,MA,2142,US,Restaurants and Other Eating Places
223-224@62j-sgg-5j9,Zephyr On the Charles,42.35376,-71.105473,575 Memorial Dr,Cambridge,MA,2139,US,Restaurants and Other Eating Places
22k-223@62j-sjv-9mk,Milk Bar,42.373613,-71.119502,3 Brattle St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
22x-222@62j-shx-jvz,Geppetto,42.372007,-71.075711,100 N First St,Cambridge,MA,2141,US,Restaurants and Other Eating Places
25n-222@62j-sjv-9zz,Tom's Bao Bao,42.372245,-71.120861,84 Winthrop St,Cambridge,MA,2138,US,Restaurants and Other Eating Places
zzw-23j@62j-shx-k9f,Chicken Now,42.368204,-71.076154,100 Cambridgeside Pl,Cambridge,MA,2141,US,Restaurants and Other Eating Places
222-223@62j-sj3-9fz,Beauty's Pizza,42.372775,-71.099329,187 Hampshire St,Cambridge,MA,2139,US,Restaurants and Other Eating Places
