placekey,latitude,longitude,top_category
237-222@62j-sk2-vs5,42.388759,-71.119907,Restaurants and Other Eating Places
23g-222@62j-sjv-9zz,42.371790000000004,-71.120643,Restaurants and Other Eating Places
22d-222@62j-sjr-zcq,42.387839,-71.142286,Restaurants and Other Eating Places
22j-222@62j-sj2-rkz,42.365675,-71.103734,Restaurants and Other Eating Places
239-222@62j-sj2-7dv,42.367958,-71.090294,Restaurants and Other Eating Places
zzw-22b@62j-sjv-8y9,42.370759,-71.113401,Restaurants and Other Eating Places
24x-222@62j-sjv-9zz,42.371882,-71.121144,Restaurants and Other Eating Places
zzw-225@62j-sjs-3yv,42.390334,-71.14072900000001,Restaurants and Other Eating Places
229-222@62j-sj2-6zf,42.372721000000006,-71.091448,Restaurants and Other Eating Places
22p-222@62j-sk3-2c5,42.383291,-71.11983599999999,Restaurants and Other Eating Places
22w-222@62j-sjv-9zz,42.372119,-71.121443,Restaurants and Other Eating Places
23p-222@62j-sj2-5j9,42.369071999999996,-71.100965,Restaurants and Other Eating Places
zzy-222@62j-sjv-8qf,42.372198,-71.116039,Restaurants and Other Eating Places
222-224@62j-sjt-68v,42.395103999999996,-71.145732,Restaurants and Other Eating Places
22z-222@62j-shx-j7q,42.371195,-71.079971,Restaurants and Other Eating Places
24m-223@62j-sjv-9zz,42.372378000000005,-71.121496,Drinking Places (Alcoholic Beverages)
257-222@62j-sjv-9zz,42.372469,-71.120857,Restaurants and Other Eating Places
zzw-225@62j-sj2-54v,42.366056,-71.092182,Restaurants and Other Eating Places
22g-223@62j-sj2-4jv,42.369953,-71.096059,Restaurants and Other Eating Places
23d-222@62j-sj2-s5z,42.364025,-71.10085699999999,Restaurants and Other Eating Places
24m-222@62j-sjv-9zz,42.372375,-71.121481,Restaurants and Other Eating Places
25d-223@62j-sjv-9zz,42.372634999999995,-71.12069699999999,Restaurants and Other Eating Places
zzw-227@62j-sk2-vs5,42.389415,-71.119372,Restaurants and Other Eating Places
22n-222@62j-sjv-9zz,42.371777,-71.120631,Restaurants and Other Eating Places
22s-222@62j-sj2-4vz,42.366355,-71.094301,Restaurants and Other Eating Places
22f-223@62j-sjv-9vf,42.37219,-71.119562,Restaurants and Other Eating Places
224-224@62j-sj4-syv,42.361342,-71.08126700000001,Restaurants and Other Eating Places
225-222@62j-sj2-jn5,42.369111,-71.109872,Restaurants and Other Eating Places
226-22c@62j-sk2-vcq,42.387287,-71.118641,Restaurants and Other Eating Places
233-222@62j-sj2-8gk,42.373252,-71.098086,Restaurants and Other Eating Places
zzw-227@62j-sj2-p35,42.364979,-71.102604,Restaurants and Other Eating Places
222-222@62j-sj2-p7q,42.364559,-71.104169,Drinking Places (Alcoholic Beverages)
222-222@62j-sjt-575,42.393743,-71.141012,Restaurants and Other Eating Places
226-222@62j-sk2-tqf,42.38949,-71.12061700000001,Drinking Places (Alcoholic Beverages)
243-227@62j-sjt-kxq,42.372344,-71.12266600000001,Drinking Places (Alcoholic Beverages)
zzw-224@62j-sj2-54v,42.366383,-71.091443,Restaurants and Other Eating Places
zzw-224@62j-sk2-zvf,42.382519,-71.119948,Restaurants and Other Eating Places
223-223@62j-sjv-bkz,42.375955,-71.115275,Drinking Places (Alcoholic Beverages)
zzw-222@62j-sj2-d9z,42.363468,-71.088546,Restaurants and Other Eating Places
234-222@62j-sjv-b6k,42.37281,-71.11756,Restaurants and Other Eating Places
zzw-222@62j-sjs-yqf,42.383521,-71.133739,Restaurants and Other Eating Places
222-222@62j-sj4-vcq,42.360213,-71.085994,Restaurants and Other Eating Places
22c-222@62j-sjv-9zz,42.371739,-71.121116,Restaurants and Other Eating Places
22d-222@62j-sjt-kxq,42.373053000000006,-71.122393,Restaurants and Other Eating Places
226-228@62j-sk2-vcq,42.387262,-71.118638,Restaurants and Other Eating Places
22b-222@62j-sj2-89z,42.372932,-71.095978,Restaurants and Other Eating Places
22b-222@62j-sk2-y5f,42.389606,-71.11897900000001,Restaurants and Other Eating Places
22h-222@62j-sj2-fmk,42.362782,-71.09388,Restaurants and Other Eating Places
245-223@62j-sjv-c5z,42.373862,-71.112971,Restaurants and Other Eating Places
zzy-222@62j-sj2-vmk,42.37175,-71.084037,Restaurants and Other Eating Places
zzy-222@62j-sjt-4y9,42.395742,-71.141396,Restaurants and Other Eating Places
zzw-224@62j-sj2-b49,42.359126,-71.092975,Restaurants and Other Eating Places
zzw-225@62j-sj2-p35,42.365034,-71.102754,Restaurants and Other Eating Places
229-222@62j-sj3-4d9,42.363101,-71.08785400000001,Restaurants and Other Eating Places
22g-222@62j-sjr-zcq,42.388006,-71.142394,Restaurants and Other Eating Places
22j-222@62j-sj2-c3q,42.362555,-71.098461,Drinking Places (Alcoholic Beverages)
25n-222@62j-sjs-v75,42.39665,-71.1297,Restaurants and Other Eating Places
zzw-223@62j-sjv-85f,42.373076,-71.11872199999999,Restaurants and Other Eating Places
22k-222@62j-sj2-8gk,42.373117,-71.097391,Restaurants and Other Eating Places
26t-222@62j-sk3-649,42.386094,-71.119577,Restaurants and Other Eating Places
222-223@62j-sjv-brk,42.37644,-71.116827,Restaurants and Other Eating Places
zzw-223@62j-sjs-575,42.388896,-71.142427,Restaurants and Other Eating Places
26n-225@62j-sjv-j7q,42.370698,-71.113341,Restaurants and Other Eating Places
23s-223@62j-sjv-8n5,42.370907,-71.114488,Drinking Places (Alcoholic Beverages)
24j-223@62j-sj2-vs5,42.371947999999996,-71.085774,Restaurants and Other Eating Places
25h-222@62j-sk2-p7q,42.377946,-71.107261,Restaurants and Other Eating Places
zzw-223@62j-sj3-2tv,42.363323,-71.08247,Restaurants and Other Eating Places
22d-222@62j-sjv-9zz,42.372068,-71.120871,Restaurants and Other Eating Places
22s-22f@62j-sjv-bc5,42.372504,-71.119377,Restaurants and Other Eating Places
23b-222@62j-sj2-rzf,42.363667,-71.09998399999999,Restaurants and Other Eating Places
23x-222@62j-sjv-9zz,42.371963,-71.120281,Restaurants and Other Eating Places
226-224@62j-sjv-bp9,42.372969,-71.118472,Restaurants and Other Eating Places
229-222@62j-sj2-rzf,42.363634999999995,-71.09994,Restaurants and Other Eating Places
24z-222@62j-sk3-649,42.385968,-71.119582,Restaurants and Other Eating Places
235-222@62j-sj2-syv,42.366566,-71.10529,Restaurants and Other Eating Places
23h-222@62j-sjv-g6k,42.363096999999996,-71.11159599999999,Restaurants and Other Eating Places
222-224@62j-sj3-47q,42.362790000000004,-71.085498,Restaurants and Other Eating Places
22n-222@62j-sjs-zpv,42.382382,-71.131433,Restaurants and Other Eating Places
27v-222@62j-sk3-649,42.385859,-71.11961099999999,Restaurants and Other Eating Places
zzw-222@62j-sjv-cnq,42.375586,-71.113753,Restaurants and Other Eating Places
228-222@62j-sj2-t35,42.365411,-71.104776,Restaurants and Other Eating Places
229-222@62j-sjv-99f,42.373506,-71.121447,Restaurants and Other Eating Places
234-222@62j-sjv-8sq,42.371435999999996,-71.116713,Restaurants and Other Eating Places
269-222@62j-sk3-4n5,42.385146999999996,-71.119061,Restaurants and Other Eating Places
222-226@62j-sjv-brk,42.376407,-71.116621,Restaurants and Other Eating Places
225-222@62j-sjv-qmk,42.377187,-71.122917,Restaurants and Other Eating Places
23f-222@62j-sjv-b6k,42.372895,-71.117919,Restaurants and Other Eating Places
zzy-224@62j-sj2-75z,42.372665000000005,-71.093889,Restaurants and Other Eating Places
23d-223@62j-sk2-zvf,42.382113000000004,-71.119384,Restaurants and Other Eating Places
zzw-223@62j-sj2-b49,42.359113,-71.092946,Restaurants and Other Eating Places
223-223@62j-sjv-bc5,42.372907,-71.120106,Restaurants and Other Eating Places
227-222@62j-sjv-99f,42.37372,-71.12182299999999,Restaurants and Other Eating Places
248-223@62j-sjv-b6k,42.372440999999995,-71.118977,Restaurants and Other Eating Places
zzw-222@62j-sgg-fs5,42.357996,-71.114939,Restaurants and Other Eating Places
23y-222@62j-sjv-bc5,42.372585,-71.119869,Restaurants and Other Eating Places
226-222@62j-sjs-vpv,42.394486,-71.126632,Restaurants and Other Eating Places
228-222@62j-sjv-fzz,42.362536,-71.113988,Restaurants and Other Eating Places
zzw-225@62j-sjv-bc5,42.372502000000004,-71.119558,Restaurants and Other Eating Places
247-222@62j-sj3-9s5,42.373506,-71.09818800000001,Restaurants and Other Eating Places
24d-222@62j-sgk-2x5,42.355148,-71.134045,Drinking Places (Alcoholic Beverages)
zzw-222@62j-sj2-bx5,42.361329,-71.096228,Restaurants and Other Eating Places
22t-222@62j-sj2-sqz,42.364708,-71.105739,Restaurants and Other Eating Places
24y-222@62j-sj2-4sq,42.365031,-71.092656,Restaurants and Other Eating Places
26n-224@62j-sjv-j7q,42.370568,-71.11335799999999,Restaurants and Other Eating Places
zzw-223@62j-sj2-d5f,42.363027,-71.091578,Restaurants and Other Eating Places
227-222@62j-sj3-2tv,42.363372999999996,-71.081453,Restaurants and Other Eating Places
22g-222@62j-sjs-tqf,42.396425,-71.12957800000001,Restaurants and Other Eating Places
23p-222@62j-sj2-mkz,42.374994,-71.109363,Restaurants and Other Eating Places
243-223@62j-sjt-kxq,42.372398,-71.12313499999999,Drinking Places (Alcoholic Beverages)
zzw-225@62j-sjv-9mk,42.373583,-71.12049,Restaurants and Other Eating Places
24b-222@62j-sjv-g8v,42.36469,-71.113258,Restaurants and Other Eating Places
25x-222@62j-sj2-j9z,42.372968,-71.110736,Restaurants and Other Eating Places
226-22h@62j-sk2-vcq,42.387192999999996,-71.118544,Restaurants and Other Eating Places
zzw-229@62j-sjv-9mk,42.374531,-71.12011899999999,Restaurants and Other Eating Places
223-222@62j-sk3-66k,42.385222,-71.119652,Restaurants and Other Eating Places
227-222@62j-sj2-bx5,42.361745,-71.097077,Restaurants and Other Eating Places
22m-222@62j-sk3-2c5,42.384101,-71.119812,Restaurants and Other Eating Places
22w-222@62j-sjv-bc5,42.373276000000004,-71.119212,Restaurants and Other Eating Places
2k3-222@62j-sj2-jjv,42.368157000000004,-71.108699,Restaurants and Other Eating Places
233-223@62j-sj2-qcq,42.364216,-71.107488,Restaurants and Other Eating Places
23m-222@62j-sjs-zpv,42.382482,-71.131438,Restaurants and Other Eating Places
zzw-224@62j-sjv-975,42.374318,-71.122075,Restaurants and Other Eating Places
225-222@62j-sjs-d35,42.39049,-71.150472,Restaurants and Other Eating Places
zzw-225@62j-sj3-5vf,42.366444,-71.077742,Restaurants and Other Eating Places
224-222@62j-sjv-9zz,42.372089,-71.121409,Restaurants and Other Eating Places
233-223@62j-sj3-9mk,42.374045,-71.100616,Restaurants and Other Eating Places
23b-222@62j-sj3-85f,42.373387,-71.094985,Restaurants and Other Eating Places
22b-223@62j-sj3-2zf,42.363587,-71.083219,Restaurants and Other Eating Places
23k-223@62j-sgg-j7q,42.35987,-71.10995799999999,Restaurants and Other Eating Places
23m-222@62j-shx-k4v,42.36853,-71.079323,Restaurants and Other Eating Places
246-222@62j-sj3-9fz,42.373670000000004,-71.098901,Restaurants and Other Eating Places
zzw-222@62j-sjv-7yv,42.372708,-71.116945,Restaurants and Other Eating Places
227-224@62j-sjv-b6k,42.372484,-71.117852,Restaurants and Other Eating Places
22g-222@62j-sj3-9mk,42.373889,-71.100811,Restaurants and Other Eating Places
zzw-222@62j-sjs-54v,42.39008,-71.14290799999999,Restaurants and Other Eating Places
22k-223@62j-sjv-9mk,42.373613,-71.119502,Restaurants and Other Eating Places
22p-222@62j-sj2-sdv,42.363447,-71.097363,Restaurants and Other Eating Places
23n-222@62j-sjs-yqf,42.383696,-71.134529,Restaurants and Other Eating Places
23w-222@62j-sj2-4vz,42.366428000000006,-71.094095,Restaurants and Other Eating Places
zzw-222@62j-sk3-35z,42.381995,-71.124032,Restaurants and Other Eating Places
226-222@62j-sjy-7nq,42.374893,-71.150349,Restaurants and Other Eating Places
zzw-228@62j-sjv-bc5,42.372595000000004,-71.119313,Restaurants and Other Eating Places
22j-223@62j-sj2-6zf,42.372614,-71.090856,Restaurants and Other Eating Places
23k-223@62j-sjv-99f,42.373492999999996,-71.120642,Restaurants and Other Eating Places
244-222@62j-sjs-v4v,42.395359,-71.128283,Restaurants and Other Eating Places
24t-223@62j-sjv-9zz,42.372507,-71.12151800000001,Restaurants and Other Eating Places
263-222@62j-sj2-s89,42.363335,-71.100716,Restaurants and Other Eating Places
zzw-222@62j-sj4-vcq,42.360684,-71.086093,Restaurants and Other Eating Places
222-222@62j-sj3-9fz,42.372746,-71.099375,Restaurants and Other Eating Places
23k-222@62j-sk2-tsq,42.390809999999995,-71.122621,Restaurants and Other Eating Places
zzy-222@62j-sj2-ckf,42.359066,-71.09474399999999,Restaurants and Other Eating Places
224-222@62j-sjr-z75,42.387895,-71.140417,Restaurants and Other Eating Places
23r-222@62j-sj2-s5z,42.364360999999995,-71.101518,Restaurants and Other Eating Places
25v-223@62j-sjv-b6k,42.373127000000004,-71.123368,Restaurants and Other Eating Places
23d-222@62j-sj2-xbk,42.371654,-71.086311,Restaurants and Other Eating Places
23x-222@62j-sj2-wx5,42.372071999999996,-71.08889599999999,Restaurants and Other Eating Places
zzw-222@62j-sj2-bzf,42.360789000000004,-71.096565,Restaurants and Other Eating Places
zzw-223@62j-sjt-4y9,42.395756,-71.141414,Restaurants and Other Eating Places
228-223@62j-sjv-9zz,42.372027,-71.120423,Restaurants and Other Eating Places
23j-222@62j-sj2-vzz,42.371476,-71.081655,Restaurants and Other Eating Places
zzw-222@62j-sk3-66k,42.385103,-71.119129,Drinking Places (Alcoholic Beverages)
zzy-222@62j-sj2-c3q,42.362556,-71.098477,Restaurants and Other Eating Places
223-222@62j-sj2-d5f,42.363058,-71.092456,Restaurants and Other Eating Places
234-222@62j-sjv-bc5,42.372764000000004,-71.120223,Drinking Places (Alcoholic Beverages)
239-222@62j-sj2-rzf,42.363652,-71.09999,Restaurants and Other Eating Places
226-223@62j-sjv-9mk,42.374514000000005,-71.12001500000001,Restaurants and Other Eating Places
zzw-223@62j-sjv-9zz,42.372084,-71.121414,Restaurants and Other Eating Places
227-222@62j-sj2-ffz,42.363082,-71.096974,Restaurants and Other Eating Places
22b-222@62j-sj2-rff,42.365028,-71.102423,Restaurants and Other Eating Places
248-222@62j-sj2-xdv,42.372364000000005,-71.088704,Restaurants and Other Eating Places
zzw-227@62j-sk2-v9f,42.388253000000006,-71.119683,Restaurants and Other Eating Places
222-224@62j-sj3-4d9,42.362854,-71.087715,Restaurants and Other Eating Places
22x-222@62j-sk3-2c5,42.383958,-71.119827,Restaurants and Other Eating Places
28p-223@62j-sj2-p7q,42.365019000000004,-71.104427,Restaurants and Other Eating Places
24j-224@62j-sjz-k4v,42.39835,-71.131022,Restaurants and Other Eating Places
253-222@62j-shx-j7q,42.371827,-71.079453,Restaurants and Other Eating Places
zzw-222@62j-sj4-rp9,42.359176,-71.088217,Drinking Places (Alcoholic Beverages)
zzw-22j@62j-shx-tjv,42.368019,-71.075326,Restaurants and Other Eating Places
22t-226@62j-sjy-7yv,42.375451,-71.149096,Restaurants and Other Eating Places
265-222@62j-sj2-89z,42.372991999999996,-71.096118,Restaurants and Other Eating Places
2dz-222@62j-sj3-2zf,42.364305,-71.08403299999999,Restaurants and Other Eating Places
zzw-223@62j-sj2-s5z,42.363580999999996,-71.101086,Restaurants and Other Eating Places
