placekey,latitude,longitude,top_category
zzy-222@62j-sjv-85f,42.373312,-71.119151,Restaurants and Other Eating Places
zzw-224@62j-sj2-s5z,42.363572,-71.101336,Restaurants and Other Eating Places
245-222@62j-sj3-9zz,42.379954,-71.09438,Drinking Places (Alcoholic Beverages)
224-222@62j-sjv-8qf,42.371488,-71.11684699999998,Restaurants and Other Eating Places
223-222@62j-sgg-kfz,42.361149,-71.115516,Restaurants and Other Eating Places
zzw-224@62j-sgg-kvf,42.360979,-71.113912,Restaurants and Other Eating Places
2k3-222@62j-sj2-jjv,42.368157,-71.108699,Restaurants and Other Eating Places
22c-222@62j-sjv-hqz,42.368966,-71.11369,Restaurants and Other Eating Places
zzw-222@62j-sj3-3qz,42.365551,-71.09015699999998,Restaurants and Other Eating Places
239-222@62j-sj2-rzf,42.363652,-71.09999,Restaurants and Other Eating Places
22h-222@62j-sjv-9zz,42.371865,-71.120502,Restaurants and Other Eating Places
24x-222@62j-sjv-9zz,42.371882,-71.121144,Drinking Places (Alcoholic Beverages)
zzy-222@62j-sj4-v9f,42.361317,-71.085981,Restaurants and Other Eating Places
222-222@62j-sjv-975,42.374203,-71.122099,Restaurants and Other Eating Places
232-223@62j-sj2-c3q,42.361999,-71.09848000000002,Drinking Places (Alcoholic Beverages)
zzw-222@62j-sj2-d9z,42.363468,-71.088546,Restaurants and Other Eating Places
22h-222@62j-sj3-b49,42.378782,-71.09464200000002,Restaurants and Other Eating Places
zzw-225@62j-sj2-54v,42.366056,-71.092182,Restaurants and Other Eating Places
229-222@62j-sjv-99f,42.373506,-71.121447,Restaurants and Other Eating Places
zzy-224@62j-sj2-75z,42.37266500000001,-71.093889,Restaurants and Other Eating Places
zzw-222@62j-sj2-s3q,42.362214,-71.098822,Restaurants and Other Eating Places
zzw-22c@62j-sj2-54v,42.366084,-71.090843,Drinking Places (Alcoholic Beverages)
228-222@62j-sj2-s5z,42.364027,-71.101967,Drinking Places (Alcoholic Beverages)
22s-226@62j-sjv-bc5,42.372633,-71.119889,Restaurants and Other Eating Places
222-226@62j-sjv-brk,42.376407,-71.116621,Restaurants and Other Eating Places
22v-222@62j-sjv-bc5,42.372917,-71.119156,Restaurants and Other Eating Places
