tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,start_building,start_lon,start_lat,target_building,target_lon,target_lat,start_time,target_time
524,2019-10-8 17:11:23,2019-10-8 17:20:7,,,,,,,,,,,,,,,,,,,,
376,2019-10-8 20:08:45,2019-10-8 20:15:1,,,,,,,,,,,,,,,,,,,,
279,2019-10-8 19:41:27,2019-10-8 19:46:6,,,,,,,,,,,,,,,,,,,,
208,2019-10-8 12:45:16,2019-10-8 12:48:44,,,,,,,,,,,,,,,,,,,,
505,2019-10-8 19:14:12,2019-10-8 19:22:37,,,,,,,,,,,,,,,,,,,,
374,2019-10-8 12:03:42,2019-10-8 12:09:56,,,,,,,,,,,,,,,,,,,,
672,2019-10-8 20:00:21,2019-10-8 20:11:33,,,,,,,,,,,,,,,,,,,,
420,2019-10-8 12:52:9,2019-10-8 12:59:9,,,,,,,,,,,,,,,,,,,,
234,2019-10-8 20:26:58,2019-10-8 20:30:52,,,,,,,,,,,,,,,,,,,,
448,2019-10-8 17:12:59,2019-10-8 17:20:27,,,,,,,,,,,,,,,,,,,,
237,2019-10-8 18:38:26,2019-10-8 18:42:23,,,,,,,,,,,,,,,,,,,,
294,2019-10-8 11:54:21,2019-10-8 11:59:15,,,,,,,,,,,,,,,,,,,,
264,2019-10-8 13:06:39,2019-10-8 13:11:3,,,,,,,,,,,,,,,,,,,,
277,2019-10-8 13:48:56,2019-10-8 13:53:33,,,,,,,,,,,,,,,,,,,,
286,2019-10-8 11:55:56,2019-10-8 12:00:42,,,,,,,,,,,,,,,,,,,,
304,2019-10-8 17:32:56,2019-10-8 17:38:0,,,,,,,,,,,,,,,,,,,,
220,2019-10-8 13:13:21,2019-10-8 13:17:1,,,,,,,,,,,,,,,,,,,,
274,2019-10-8 12:06:26,2019-10-8 12:11:0,,,,,,,,,,,,,,,,,,,,
376,2019-10-8 12:46:16,2019-10-8 12:52:32,,,,,,,,,,,,,,,,,,,,
398,2019-10-8 18:33:22,2019-10-8 18:40:0,,,,,,,,,,,,,,,,,,,,
304,2019-10-8 13:21:28,2019-10-8 13:26:32,,,,,,,,,,,,,,,,,,,,
150,2019-10-8 19:20:14,2019-10-8 19:22:44,,,,,,,,,,,,,,,,,,,,
356,2019-10-8 17:25:54,2019-10-8 17:31:50,,,,,,,,,,,,,,,,,,,,
371,2019-10-8 18:14:26,2019-10-8 18:20:37,,,,,,,,,,,,,,,,,,,,
158,2019-10-8 13:52:45,2019-10-8 13:55:23,,,,,,,,,,,,,,,,,,,,
311,2019-10-8 11:55:44,2019-10-8 12:00:55,,,,,,,,,,,,,,,,,,,,
212,2019-10-8 11:12:25,2019-10-8 11:15:57,,,,,,,,,,,,,,,,,,,,
293,2019-10-8 19:33:51,2019-10-8 19:38:44,,,,,,,,,,,,,,,,,,,,
375,2019-10-8 11:22:4,2019-10-8 11:28:19,,,,,,,,,,,,,,,,,,,,
469,2019-10-8 13:26:1,2019-10-8 13:33:50,,,,,,,,,,,,,,,,,,,,
512,2019-10-8 13:20:3,2019-10-8 13:28:35,,,,,,,,,,,,,,,,,,,,
