,activity_id,person_id,distance_meters,duration_seconds,mode,travel_purpose,previous_activity_type,start_time,end_time,dest_bgrp,orig_bgrp,destination_land_use,origin_land_use,latitude,longitude
244,2133977230021938638,8594713780960714502,0.0,0,WALKING,EAT,HOME,2019-10-08 02:17:49,02:18:18,250173522001,250173522001,residential,commercial,42.372122,-71.087128
84,14389459734717674669,14894890044593490457,321.86800479620695,180,WALKING,EAT,HOME,2019-10-08 05:14:00,05:17:43,250173531022,250173524002,residential,commercial,42.363101,-71.087854
201,2579648700565286614,5845861590408715212,2092.1419232606886,360,BIKING,EAT,HOME,2019-10-08 05:40:02,05:46:54,250173528002,250173524002,residential,commercial,42.363164,-71.088442
72,1546124724500874222,14316622961323034847,1126.5379808151722,780,WALKING,EAT,HOME,2019-10-08 05:59:41,06:13:05,250173531012,250173524002,residential,commercial,42.363164,-71.088442
60,16221752847797806526,13718027117848029486,643.7360095924139,480,WALKING,EAT,HOME,2019-10-08 06:30:39,06:38:57,250173521011,250173521022,residential,commercial,42.372246,-71.07982
82,9592205541830307858,14800861649561247398,160.93400239810347,60,WALKING,EAT,HOME,2019-10-08 06:32:33,06:33:51,250173525002,250173524002,residential,commercial,42.363101,-71.087854
109,13568338200219185453,16213289682210446976,482.80201918482777,0,PRIVATE_AUTO,EAT,HOME,2019-10-08 06:42:53,06:43:36,250173521012,250173521011,residential,commercial,42.371938,-71.075402
22,8339101857990012267,11096374656034910500,4023.35,300,CARPOOL,EAT,HOME,2019-10-08 06:44:36,06:50:11,250173529001,250173523002,residential,commercial,42.36853,-71.079323
107,16055987783600064991,16088070117975805213,160.93400239810347,60,WALKING,EAT,HOME,2019-10-08 06:52:10,06:53:39,250173521022,250173522001,residential,commercial,42.371742,-71.086793
199,5426118573595383401,5715331369533237487,482.80201918482777,60,CARPOOL,EAT,HOME,2019-10-08 07:01:20,07:02:28,250173521011,250173521011,residential,commercial,42.37196,-71.075408
